id,section,status,claim_truncated,source_file,source_exists,carried_by,derived_from,derived_from_ok,superseded_by,superseded_by_ok,pinned_by_test,test_exists,has_floor
P0-01,P0,MEASURED,"The IDC v24 index holds one row per series, 1,032,911 se ...",results/phase0/census_all.csv,yes,,,,,,tests/test_phase0.py::test_index_shape,yes,yes
P0-02,P0,MEASURED,"Derived objects, defined as the nine SOP classes listed ...",results/phase0/census_derived.csv,yes,,,,,,tests/test_phase0.py::test_derived_totals,yes,yes
P0-03,P0,MEASURED,Segmentation Storage is the largest derived class by vol ...,results/phase0/census_derived.csv,yes,,,,,,,,yes
P0-04,P0,MEASURED,Every derived series in IDC v24 is Explicit VR Little En ...,results/phase0/transfer_syntax.csv,yes,results/pre06_sampling_frame.md,,,,,,,yes
P0-05,P0,MEASURED,"IDC v24 holds 1,086 Grayscale Softcopy Presentation Stat ...",results/phase0/gsps_split.csv,yes,results/phase2/net_rates_gsps.md,,,,,tests/test_phase0.py::test_gsps_split,yes,yes
P0-06,P0,MEASURED,"Parametric Map holdings are 691 series, all in collectio ...",results/phase0/parametric_map.csv,yes,,,,,,,,yes
P0-07,P0,MEASURED,Every derived series in IDC v24 carries a Creative Commo ...,results/phase0/licenses.csv,yes,,,,,,,,yes
P0-08,P0,MEASURED,The six classes the brief calls exhaustively downloadabl ...,results/phase0/phase2_budget.csv,yes,,,,,,,,yes
P0-09,P0,MEASURED,Phase 0 samples nothing. It aggregates the complete inde ...,results/phase0_census.md and results/phase0/*.csv,yes,,,,,,,,yes
P0-12,P0,PENDING,This census covers non-image derived SOP classes only. O ...,,none named,results/pre06_sampling_frame.md,,,,,,,yes
P0-10,P0,MEASURED,Two denominators are carried throughout: derived objects ...,results/phase0/census_by_analysis_result.csv,yes,,,,,,tests/test_phase0.py::test_two_denominators,yes,yes
P0-11,P0,MEASURED,Per-series rather than per-instance validation would mis ...,results/phase0/first_file_coverage.csv,yes,results/pre06_sampling_frame.md,PA-03,yes,,,tests/test_phase0.py::test_first_file_coverage,yes,yes
C3-01,C3,MEASURED,Manufacturer and ManufacturerModelName are populated on ...,results/phase0/provenance_population_by_sop.csv,yes,,,,,,tests/test_phase0.py::test_provenance_population,yes,yes
C3-02,C3,MEASURED,Declared equipment identity across the derived populatio ...,results/phase0/provenance_buckets.csv,yes,,,,,,tests/test_phase0.py::test_buckets_are_exhaustive,yes,yes
C3-03,C3,MEASURED,IDC already applies a convention that names the producin ...,results/phase0/provenance_converter_pairs.csv,yes,,C3-02,yes,,,tests/test_phase0.py::test_positive_control,yes,yes
C3-11,C3,MEASURED,The largest single analysis result in the archive declar ...,results/phase0/provenance_name_agreement.csv,yes,results/ai_use.md;results/manuscript/tables.md;results/submission/04_tables.md,"C3-02,C3-05",yes,,,tests/test_phase0.py::test_largest_analysis_result,yes,yes
C3-10,C3,MEASURED,Several incompatible conventions for declaring equipment ...,results/phase0/provenance_conventions.csv,yes,,"C3-02,C3-03,C3-07",yes,,,,,yes
C3-04,C3,MEASURED,A single encoding tool is declared under several distinc ...,results/phase0/provenance_spelling_variants.csv,yes,,,,,,tests/test_phase0.py::test_dcmqi_spellings,yes,yes
C3-05,C3,MEASURED,For most large analysis results the declared equipment s ...,results/phase0/provenance_name_agreement.csv,yes,,,,,,,,yes
C3-06,C3,PENDING,"ImplementationVersionName (0002,0013), ContributingEquip ...",results/claim3_provenance.md and results/phase0/provenance_*.csv,yes,,,,,,,,yes
C3-07,C3,MEASURED,A measurable share of derived series declare an equipmen ...,results/phase0/provenance_acquisition_inheritance.csv,yes,,,,,,,,yes
C3-08,C3,MEASURED,Claim 3 at Phase 0 samples nothing ...,results/claim3_provenance.md and results/phase0/provenance_*.csv,yes,,,,,,,,yes
C3-12,C3,MEASURED,Series in this archive are not independent observations. ...,results/phase0/provenance_by_collection.csv,yes,results/phase2/net_rates_comprehensive_3d_sr.md;results/phase2/net_rates_comprehensive_sr.md;results/pre06_sampling_frame.md,C3-02,yes,,,tests/test_phase0.py::test_clustering,yes,yes
