file,section,line,kind,trigger,sentence,ledger_rows_cited,verdict,note
results/manuscript/abstract.md,abstract,5,data,every,Conformance and attribution are independent properties of an AI result delivered as a DICOM object: an object can satisfy every stated requirement of the standard and still not record what produced it.,,unbacked,no ledger row is cited in the sentence
results/manuscript/abstract.md,abstract,17,data,never,"Conformance was scored only by third-party validators, dciodvfy and dicom-validator, never by the authors.",,unbacked,no ledger row is cited in the sentence
results/manuscript/abstract.md,abstract,17,data,every,"Every validator message was normalised to a message class and counted as a distinct (SOPInstanceUID, message class) pair.",,unbacked,no ledger row is cited in the sentence
results/manuscript/abstract.md,abstract,17,procedure,every,Every Type designation relied on was re-verified against PS3.,,unbacked,no ledger row is cited in the sentence
results/manuscript/abstract.md,abstract,30,procedure,none,"33 percent, are conformant but uninformative**: everything the standard requires of them is present and none of it identifies what produced the result.",,unbacked,no ledger row is cited in the sentence
results/manuscript/abstract.md,abstract,30,procedure,nothing,"The ceiling is the standard's: a non-empty equipment value is compelled in **2 of 8 IODs**, presence of a manufacturer string in **8 of 8**, and nothing about model, serial or software version in the remaining 6.",,unbacked,no ledger row is cited in the sentence
results/manuscript/abstract.md,abstract,52,data,every,Enhanced SR Storage is excluded from every object-weighted rate and named.,,unbacked,no ledger row is cited in the sentence
results/manuscript/abstract.md,abstract,68,procedure,every,"** All measurement code, the claims ledger carrying every figure in this abstract, and the generated tables are published.",,unbacked,no ledger row is cited in the sentence
results/manuscript/abstract.md,abstract,68,data,zero,Two of the three attribute names measured here return zero hits across Europe PMC.,,unbacked,no ledger row is cited in the sentence
results/manuscript/abstract_venue.md,"abstract, venue form",14,data,every,An AI result delivered as a DICOM object can satisfy every requirement of the standard and still not record what produced it: conformance and attribution are independent properties.,,unbacked,no ledger row is cited in the sentence
results/manuscript/abstract_venue.md,"abstract, venue form",20,data,every,"Objects were graded non-conformant, conformant but uninformative, or informative by a published rule table, and every attribute Type relied on was re-verified against the standard.",,unbacked,no ledger row is cited in the sentence
results/manuscript/abstract_venue.md,"abstract, venue form",28,procedure,none,33 percent) are conformant but uninformative: everything the standard requires is present and none of it identifies the producer.,,unbacked,no ledger row is cited in the sentence
results/manuscript/abstract_venue.md,"abstract, venue form",37,data,every,One class is excluded from every object-weighted rate and named in the paper.,,unbacked,no ledger row is cited in the sentence
results/manuscript/abstract_venue.md,"abstract, venue form",45,procedure,none,"Each of these is in the repository abstract and in the paper, and none of it is withdrawn.",,unbacked,no ledger row is cited in the sentence
results/manuscript/introduction.md,introduction,3,data,every,An object can satisfy every stated requirement of PS3.,,unbacked,no ledger row is cited in the sentence
results/manuscript/introduction.md,introduction,3,procedure,nothing,"3 [8] and say nothing about what made it, and nothing in the standard makes that a defect.",,unbacked,no ledger row is cited in the sentence
results/manuscript/introduction.md,introduction,35,procedure,every,"**In every case the published record reports that validation was performed, not what it found.",,unbacked,no ledger row is cited in the sentence
results/manuscript/introduction.md,introduction,42,procedure,never,"Every claim of a first in this paper is therefore a claim of **first published measurement, never of first performed**.",,unbacked,no ledger row is cited in the sentence
