id,section,section_title,claim,status,status_note,value,sop_class,n,denominator,floor,dropped,validator,validator_version,command,source_file,derived_from,external_source,pinned_by_test,supersedes,superseded_by,retired_reason,idc_index_version,date,verified_on,hardware,notes
P0-01,P0,"Phase 0 census, IDC index metadata","The IDC v24 index holds one row per series, 1,032,911 series rows across 37 SOP classes.",MEASURED,,"1,032,911 series rows, 37 SOP classes",all,"1,032,911","1,032,911","not applicable, no validator involved","nothing, complete index read","none, index metadata only",idc-index-data v24,python -m colophon.index,results/phase0/census_all.csv,,,tests/test_phase0.py::test_index_shape,,,,v24,2026-08-02T08:20:43Z,,,
P0-02,P0,"Phase 0 census, IDC index metadata","Derived objects, defined as the nine SOP classes listed in colophon/index.py DERIVED_SOP_CLASSES, number 481,750 series and 504,727 instances, 18.72 TB.",MEASURED,"The nine-class definition was recovered by subset search against the series and instance totals the study was scoped against, not assumed. Only this subset matches on both counts.","481,750 series, 504,727 instances, 18.72 TB","derived, nine classes","481,750","1,032,911","not applicable, no validator involved","nothing, complete index read","none, index metadata only",idc-index-data v24,python -m colophon.index,results/phase0/census_derived.csv,,,tests/test_phase0.py::test_derived_totals,,,,v24,2026-08-02T08:20:43Z,,,Six further produced-not-acquired classes are excluded from this denominator and reported alongside it.
P0-03,P0,"Phase 0 census, IDC index metadata",Segmentation Storage is the largest derived class by volume and cannot be downloaded whole.,MEASURED,,"190,146 series, 18.58 TB",Segmentation Storage,"190,146","481,750","not applicable, no validator involved","nothing, complete index read","none, index metadata only",idc-index-data v24,python -m colophon.index,results/phase0/census_derived.csv,,,,,,,v24,2026-08-02T08:20:43Z,,,
P0-04,P0,"Phase 0 census, IDC index metadata",Every derived series in IDC v24 is Explicit VR Little Endian apart from two groups.,MEASURED,,"RT Structure Set Storage Implicit VR Little Endian 3,174 series; Segmentation Storage JPEG-LS Lossless 97 series","derived, nine classes","3,271","481,750","not applicable, no validator involved","nothing, complete index read","none, index metadata only",idc-index-data v24,python -m colophon.index,results/phase0/transfer_syntax.csv,,,,,,,v24,2026-08-02T08:20:43Z,,,Load bearing for Phases 2 and 3: a decode failure is not a conformance failure and must not be counted as one.
P0-05,P0,"Phase 0 census, IDC index metadata","IDC v24 holds 1,086 Grayscale Softcopy Presentation State series. They split three ways by ingestion route and 462 carry no analysis_result_id.",MEASURED,"IDC-ADMINISTRATIVE, not DICOM provenance. analysis_result_id is an IDC ingestion bookkeeping field. The split records how the archive registered these series, not any property of the objects, and the objects themselves may not differ at all. This row belongs to a discussion of registry-level versus object-level provenance and is not reported beside object-level provenance findings.","1,086 GSPS series: qiba_ct_1c 462 with null analysis_result_id, rider_lung_ct 384 and rider_pilot 240 both qiba_volct_1b",Grayscale Softcopy Presentation State Storage,"1,086","481,750","not applicable, no validator involved","nothing, complete index read","none, index metadata only",idc-index-data v24,python -m colophon.index,results/phase0/gsps_split.csv,,,tests/test_phase0.py::test_gsps_split,,,,v24,2026-08-02T08:20:43Z,,,"The count itself settles a question the prior-art sweep could not settle from documentation: the IDC user guide derived objects page names only SEG, RTSTRUCT and SR, so GSPS presence in IDC was unconfirmed until counted here. The attribution split cannot serve as a derived-object denominator."
P0-06,P0,"Phase 0 census, IDC index metadata","Parametric Map holdings are 691 series, all in collection tcga_gbm under analysis result tcga_gbm360, CC BY 4.0.",MEASURED,,"691 series, 691 instances",Parametric Map Storage,691,"481,750","not applicable, no validator involved","nothing, complete index read","none, index metadata only",idc-index-data v24,python -m colophon.index,results/phase0/parametric_map.csv,,,,,,,v24,2026-08-02T08:20:43Z,,,
P0-07,P0,"Phase 0 census, IDC index metadata","Every derived series in IDC v24 carries a Creative Commons licence, so exhaustive validation of the small classes needs no access request and no egress fee.",MEASURED,,"CC BY 3.0 22,457; CC BY 4.0 458,281; CC BY-NC 3.0 885; CC BY-NC 4.0 127","derived, nine classes","481,750","481,750","not applicable, no validator involved","nothing, complete index read","none, index metadata only",idc-index-data v24,python -m colophon.index,results/phase0/licenses.csv,,,,,,,v24,2026-08-02T08:20:43Z,,,
P0-08,P0,"Phase 0 census, IDC index metadata","The six classes the brief calls exhaustively downloadable total under 1 GB, so Phase 2 needs no sampling.",MEASURED,,"9,363 series, 0.791 GB",six small classes,"9,363","481,750","not applicable, no validator involved","nothing, complete index read","none, index metadata only",idc-index-data v24,python -m colophon.index,results/phase0/phase2_budget.csv,,,,,,,v24,2026-08-02T08:20:43Z,,,
P0-09,P0,"Phase 0 census, IDC index metadata",Phase 0 samples nothing. It aggregates the complete index.,MEASURED,,"1,032,911 of 1,032,911 rows read",all,"1,032,911","1,032,911","not applicable, no validator involved","nothing, complete index read","none, index metadata only",idc-index-data v24,python -m colophon.index,results/phase0_census.md and results/phase0/*.csv,,,,,,,v24,2026-08-02T08:20:43Z,,,
P0-12,P0,"Phase 0 census, IDC index metadata","This census covers non-image derived SOP classes only. Objects with ImageType (0008,0008) value 1 equal to DERIVED, and Secondary Capture output from processing pipelines, are excluded and cannot be sized from the index.",PENDING,Language is rescoped throughout: every claim says non-image derived SOP classes rather than the unqualified word derived. Sizing the stratum requires reading objects and is Phase 2 work.,"ImageType is not an index column. The classes such objects would sit in are large: CT Image Storage 266,230 series, Secondary Capture Image Storage 10,908 series",acquisition classes carrying derived pixel data,,,"not applicable, no validator involved","the entire ImageType DERIVED stratum, size unknown from the index","none, index metadata only",idc-index-data v24,python -m colophon.index,,,PS3.3 C.7.6.1.1.2 Image Type,,,,,v24,2026-08-02T08:20:43Z,,,"This is the case where a derived image is indistinguishable from an acquisition by SOP class alone, so excluding it by class is a scope decision that has to be stated rather than a gap that can be closed by a better query."
