validator,message_class_id,message_template,severity_as_emitted,objects,adjudication,citation_section,citation_table,citation_quote,rationale
dciodvfy,458af26c2f99,Warning - Unrecognized defined term <AGGRESSIVENESS> for value 3 of attribute <Image Type>,Warning,691,FLOOR,"PS3.3 C.8.32.2, with PS3.3 C.8.16.1.3 and PS3.5 3.10",Table C.8.32-2; Table C.8-129,"PS3.3 C.8.32.2, Table C.8.32-2, Parametric Map Image Module Attributes, Image Type (0008,0008), Type 1: ""Value 3 shall be Image Flavor, common Defined Terms for which are specified in Section C.8.16.1.3."" PS3.3 C.8.16.1.3, Table C.8-129, Image Type and Frame Type Value 3 Common: ""Additional Defined Terms are defined in the modality-specific Module and Macro definitions."" PS3.5 3.10: ""The Value of a Data Element is a Defined Term when the Value of the Data Element may be one of an explicitly specified set of standard Values, and these Values may be extended by implementers."" PS3.5 3.10, for contrast: ""The Value of a Data Element is an Enumerated Value when the Value of the Data Element must be one of an explicitly specified set of standard Values, and these Values shall not be extended by implementers.""","The question is whether value 3 of Image Type is an extensible Defined Term list or a closed Enumerated Value list for the Parametric Map IOD specifically. Table C.8.32-2, which is the Parametric Map Image Module's own attribute table, says Defined Terms and points at C.8.16.1.3, whose list Table C.8-129 is labelled common and is stated to admit additional terms. PS3.5 3.10 defines a Defined Term as extensible by implementers and an Enumerated Value as not. AGGRESSIVENESS is therefore an extension the standard permits at this position. dciodvfy's own wording, unrecognized defined term, agrees that the position holds a Defined Term, and it emits the message at Warning."
dciodvfy,4ad0c5efd0ef,Warning - Unrecognized defined term <AI> for value 4 of attribute <Image Type>,Warning,691,FLOOR,"PS3.3 C.8.32.2, with PS3.3 C.8.16.1.4 and PS3.5 3.10",Table C.8.32-2; Table C.8-130,"PS3.3 C.8.32.2, Table C.8.32-2, Parametric Map Image Module Attributes, Image Type (0008,0008), Type 1: ""Value 4 shall be Derived Pixel Contrast, common Defined Terms for which are specified in Section C.8.16.1.4."" PS3.3 C.8.16.1.4, Table C.8-130, Image Type and Frame Type Value 4 Common: ""Additional Defined Terms are defined in the modality-specific Module and Macro definitions."" PS3.5 3.10: ""The Value of a Data Element is a Defined Term when the Value of the Data Element may be one of an explicitly specified set of standard Values, and these Values may be extended by implementers."" PS3.5 3.10, for contrast: ""The Value of a Data Element is an Enumerated Value when the Value of the Data Element must be one of an explicitly specified set of standard Values, and these Values shall not be extended by implementers.""","Same construction as value 3. Table C.8.32-2 marks value 4 a Defined Term and points at C.8.16.1.4, whose Table C.8-130 list is labelled common and admits additional terms, and PS3.5 3.10 makes Defined Terms extensible by implementers. AI is an extension the standard permits at this position. Emitted at Warning."
dciodvfy,49b2f85a1e4d,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <TCGA-06-0152> - Retired Person Name form,Warning,9,PLAUSIBILITY,PS3.5 6.2,"Table 6.2-1, PN","PS3.5 6.2, Table 6.2-1, PN: ""A character string encoded using a 5 component convention."" PS3.5 6.2, on omission: ""Trailing null components and their delimiters may be omitted."" PS3.5 6.2, on the single component form: ""for reasons of backward compatibility with older versions of this Standard, person names might be considered a single family name complex (single component without ""^"" delimiters).""","dciodvfy reports the value as dubious for the VR. It names no Type and no condition, and dubious is a judgement about value quality rather than about conformance, which is the definition of the PLAUSIBILITY category. No requirement is available to cite against it: PS3.5 permits trailing null components and their delimiters to be omitted, so a single component PN is a well formed value of the VR. Each distinct patient identifier is its own message class because the value is inside the message text, so this one rule covers 336 message classes that differ only in that value."
dciodvfy,af17c6790fce,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <TCGA-08-0518> - Retired Person Name form,Warning,8,PLAUSIBILITY,PS3.5 6.2,"Table 6.2-1, PN","PS3.5 6.2, Table 6.2-1, PN: ""A character string encoded using a 5 component convention."" PS3.5 6.2, on omission: ""Trailing null components and their delimiters may be omitted."" PS3.5 6.2, on the single component form: ""for reasons of backward compatibility with older versions of this Standard, person names might be considered a single family name complex (single component without ""^"" delimiters).""","dciodvfy reports the value as dubious for the VR. It names no Type and no condition, and dubious is a judgement about value quality rather than about conformance, which is the definition of the PLAUSIBILITY category. No requirement is available to cite against it: PS3.5 permits trailing null components and their delimiters to be omitted, so a single component PN is a well formed value of the VR. Each distinct patient identifier is its own message class because the value is inside the message text, so this one rule covers 336 message classes that differ only in that value."
dciodvfy,bbe2d3f4bfe9,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <TCGA-06-0209> - Retired Person Name form,Warning,8,PLAUSIBILITY,PS3.5 6.2,"Table 6.2-1, PN","PS3.5 6.2, Table 6.2-1, PN: ""A character string encoded using a 5 component convention."" PS3.5 6.2, on omission: ""Trailing null components and their delimiters may be omitted."" PS3.5 6.2, on the single component form: ""for reasons of backward compatibility with older versions of this Standard, person names might be considered a single family name complex (single component without ""^"" delimiters).""","dciodvfy reports the value as dubious for the VR. It names no Type and no condition, and dubious is a judgement about value quality rather than about conformance, which is the definition of the PLAUSIBILITY category. No requirement is available to cite against it: PS3.5 permits trailing null components and their delimiters to be omitted, so a single component PN is a well formed value of the VR. Each distinct patient identifier is its own message class because the value is inside the message text, so this one rule covers 336 message classes that differ only in that value."
dciodvfy,73bcaf7224f0,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <TCGA-06-0166> - Retired Person Name form,Warning,7,PLAUSIBILITY,PS3.5 6.2,"Table 6.2-1, PN","PS3.5 6.2, Table 6.2-1, PN: ""A character string encoded using a 5 component convention."" PS3.5 6.2, on omission: ""Trailing null components and their delimiters may be omitted."" PS3.5 6.2, on the single component form: ""for reasons of backward compatibility with older versions of this Standard, person names might be considered a single family name complex (single component without ""^"" delimiters).""","dciodvfy reports the value as dubious for the VR. It names no Type and no condition, and dubious is a judgement about value quality rather than about conformance, which is the definition of the PLAUSIBILITY category. No requirement is available to cite against it: PS3.5 permits trailing null components and their delimiters to be omitted, so a single component PN is a well formed value of the VR. Each distinct patient identifier is its own message class because the value is inside the message text, so this one rule covers 336 message classes that differ only in that value."
dciodvfy,c3d5c1cd1802,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <TCGA-12-0769> - Retired Person Name form,Warning,7,PLAUSIBILITY,PS3.5 6.2,"Table 6.2-1, PN","PS3.5 6.2, Table 6.2-1, PN: ""A character string encoded using a 5 component convention."" PS3.5 6.2, on omission: ""Trailing null components and their delimiters may be omitted."" PS3.5 6.2, on the single component form: ""for reasons of backward compatibility with older versions of this Standard, person names might be considered a single family name complex (single component without ""^"" delimiters).""","dciodvfy reports the value as dubious for the VR. It names no Type and no condition, and dubious is a judgement about value quality rather than about conformance, which is the definition of the PLAUSIBILITY category. No requirement is available to cite against it: PS3.5 permits trailing null components and their delimiters to be omitted, so a single component PN is a well formed value of the VR. Each distinct patient identifier is its own message class because the value is inside the message text, so this one rule covers 336 message classes that differ only in that value."
dciodvfy,e4f575ba77d8,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <TCGA-06-0188> - Retired Person Name form,Warning,7,PLAUSIBILITY,PS3.5 6.2,"Table 6.2-1, PN","PS3.5 6.2, Table 6.2-1, PN: ""A character string encoded using a 5 component convention."" PS3.5 6.2, on omission: ""Trailing null components and their delimiters may be omitted."" PS3.5 6.2, on the single component form: ""for reasons of backward compatibility with older versions of this Standard, person names might be considered a single family name complex (single component without ""^"" delimiters).""","dciodvfy reports the value as dubious for the VR. It names no Type and no condition, and dubious is a judgement about value quality rather than about conformance, which is the definition of the PLAUSIBILITY category. No requirement is available to cite against it: PS3.5 permits trailing null components and their delimiters to be omitted, so a single component PN is a well formed value of the VR. Each distinct patient identifier is its own message class because the value is inside the message text, so this one rule covers 336 message classes that differ only in that value."
dciodvfy,e6c9b37c1cdb,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <TCGA-14-0789> - Retired Person Name form,Warning,7,PLAUSIBILITY,PS3.5 6.2,"Table 6.2-1, PN","PS3.5 6.2, Table 6.2-1, PN: ""A character string encoded using a 5 component convention."" PS3.5 6.2, on omission: ""Trailing null components and their delimiters may be omitted."" PS3.5 6.2, on the single component form: ""for reasons of backward compatibility with older versions of this Standard, person names might be considered a single family name complex (single component without ""^"" delimiters).""","dciodvfy reports the value as dubious for the VR. It names no Type and no condition, and dubious is a judgement about value quality rather than about conformance, which is the definition of the PLAUSIBILITY category. No requirement is available to cite against it: PS3.5 permits trailing null components and their delimiters to be omitted, so a single component PN is a well formed value of the VR. Each distinct patient identifier is its own message class because the value is inside the message text, so this one rule covers 336 message classes that differ only in that value."
dciodvfy,01510446677e,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <TCGA-06-0208> - Retired Person Name form,Warning,6,PLAUSIBILITY,PS3.5 6.2,"Table 6.2-1, PN","PS3.5 6.2, Table 6.2-1, PN: ""A character string encoded using a 5 component convention."" PS3.5 6.2, on omission: ""Trailing null components and their delimiters may be omitted."" PS3.5 6.2, on the single component form: ""for reasons of backward compatibility with older versions of this Standard, person names might be considered a single family name complex (single component without ""^"" delimiters).""","dciodvfy reports the value as dubious for the VR. It names no Type and no condition, and dubious is a judgement about value quality rather than about conformance, which is the definition of the PLAUSIBILITY category. No requirement is available to cite against it: PS3.5 permits trailing null components and their delimiters to be omitted, so a single component PN is a well formed value of the VR. Each distinct patient identifier is its own message class because the value is inside the message text, so this one rule covers 336 message classes that differ only in that value."
