sop_class_name,validator,message_class_id,severity_as_emitted,objects,family,message_template,adjudication1_raw,adjudication1,adjudication1_strict,citation_section1,pre_disclosed,adjudication2,citation_section2,citation_table2,rationale2,rule2,net1,net2,consensus,agreed
comprehensive_3d_sr,dciodvfy,815f5dab3ba7,Warning,5312,Warning - Missing attribute or value that would be needed to build DICOMDIR - Study ID,Warning - Missing attribute or value that would be needed to build DICOMDIR - Study ID,NOT-IOD,FLOOR,NOT-IOD,PS3.3 Section F.5.2 Study Directory Record Definition; PS3.3 Section C.7.2.1 General Study Module,False,FLOOR,PS3.3 C.7.2.1,Table C.7-3,"An advisory about Basic Directory key attributes, not about this object's IOD. Study ID is Type 2 in General Study and may be zero length, so the object is conformant and the message describes a different use case.",needed to build DICOMDIR,False,False,FLOOR,True
comprehensive_3d_sr,dciodvfy,4a71864409dc,Warning,3178,Warning - Missing attribute or value that would be needed to build DICOMDIR - Study Time,Warning - Missing attribute or value that would be needed to build DICOMDIR - Study Time,NOT-IOD,FLOOR,NOT-IOD,PS3.3 Section F.5.2 Study Directory Record Definition; PS3.3 Section C.7.2.1 General Study Module,False,FLOOR,PS3.3 C.7.2.1,Table C.7-3,"An advisory about Basic Directory key attributes, not about this object's IOD. Study ID is Type 2 in General Study and may be zero length, so the object is conformant and the message describes a different use case.",needed to build DICOMDIR,False,False,FLOOR,True
comprehensive_3d_sr,dciodvfy,5f2ebd7be984,Error,935,Error - Missing attribute Type 2 Required Element=<ClinicalTrialSiteName> Module=<ClinicalTrialSubject>,Error - Missing attribute Type 2 Required Element=<ClinicalTrialSiteName> Module=<ClinicalTrialSubject>,NET,NET,NET,PS3.3 Section C.7.1.3 Clinical Trial Subject Module; PS3.3 Section A.1.3 IOD Module Table and Functional Group Macro Table and Section A.1.3.3 User Option Modules; PS3.3 Section A.35.13 Comprehensive 3D SR IOD; Type 2 semantics in PS3.5 Section 7.4.3,True,NET,PS3.3 Section C.7.1.3,Table C.7-2b,"Where the Clinical Trial Subject module is included, Clinical Trial Site Name and Site ID are Type 2 and shall be present even if zero length. Absence of a Type 2 attribute in an included module is a violation.",Missing attribute Type 2 Required Element=<ClinicalTrialSite(Name|ID)>,True,True,NET,True
comprehensive_3d_sr,dciodvfy,113635600c0a,Error,828,Error - Missing attribute Type 1C Conditional Element=<DeidentificationMethodCodeSequence> Module=<Patient>,Error - Missing attribute Type 1C Conditional Element=<DeidentificationMethodCodeSequence> Module=<Patient>,NET,NET,NET,PS3.3 Section C.7.1.1 Patient Module; PS3.3 Section A.35.13 Comprehensive 3D SR IOD; Type 1C semantics in PS3.5 Section 7.4.2,True,NET,PS3.3 Section C.7.1.1,Table C.7-1,"De-identification Method and De-identification Method Code Sequence are Type 1C, required if Patient Identity Removed is YES. That attribute is in the same module, so the condition is evaluable from the dataset.",Missing attribute Type 1C Conditional Element=<DeidentificationMethod,True,True,NET,True
comprehensive_3d_sr,dciodvfy,a9d5bb8768bb,Error,828,Error - Missing attribute Type 1C Conditional Element=<DeidentificationMethod> Module=<Patient>,Error - Missing attribute Type 1C Conditional Element=<DeidentificationMethod> Module=<Patient>,NET,NET,NET,PS3.3 Section C.7.1.1 Patient Module; PS3.3 Section A.35.13 Comprehensive 3D SR IOD; Type 1C semantics in PS3.5 Section 7.4.2,True,NET,PS3.3 Section C.7.1.1,Table C.7-1,"De-identification Method and De-identification Method Code Sequence are Type 1C, required if Patient Identity Removed is YES. That attribute is in the same module, so the condition is evaluable from the dataset.",Missing attribute Type 1C Conditional Element=<DeidentificationMethod,True,True,NET,True
comprehensive_3d_sr,dciodvfy,b4222489c019,Warning,96,Warning - Value dubious for this VR - (TAG) PN Person Name PN [n] = <VALUE> - Retired Person Name form,Warning - Value dubious for this VR - (TAG) PN Person Name PN [1] = <Anonymized> - Retired Person Name form,PLAUSIBILITY,FLOOR,PLAUSIBILITY,"not applicable, no requirement is cited by the message",False,FLOOR,PS3.5 Section 6.2,Table 6.2-1,"A single-component PN with no caret delimiters is a legal PN value. The warning is about a deprecated component form, not about conformance, and it fires on de-identified subject identifiers by construction.",Retired Person Name form,False,False,FLOOR,True
comprehensive_3d_sr,dciodvfy,d1a80ff436c3,Error,38,Error - Missing attribute Type 1 Required Element=<ReferencedSOPClassUID> Module=<SOPInstanceReferenceMacro>,Error - Missing attribute Type 1 Required Element=<ReferencedSOPClassUID> Module=<SOPInstanceReferenceMacro>,NET,NET,NET,PS3.3 Section 10.8 SOP Instance Reference Macro; reached from PS3.3 Section C.7.2.1 General Study Module; Type 1 semantics in PS3.5 Section 7.4.1 and per-Item scope in PS3.5 Section 7.4.6,True,NET,PS3.3 Section 10.8,Table 10-11,Referenced SOP Class UID is Type 1 in the SOP Instance Reference Macro. A Type 1 attribute absent is a violation with no condition to evaluate.,Missing attribute Type 1 Required Element=<ReferencedSOPClassUID>,True,True,NET,True
comprehensive_3d_sr,dciodvfy,6b310a024f72,Error,8,Error - Missing attribute Type 2 Required Element=<ClinicalTrialSiteID> Module=<ClinicalTrialSubject>,Error - Missing attribute Type 2 Required Element=<ClinicalTrialSiteID> Module=<ClinicalTrialSubject>,NET,NET,NET,PS3.3 Section C.7.1.3 Clinical Trial Subject Module; PS3.3 Section A.1.3 IOD Module Table and Functional Group Macro Table and Section A.1.3.3 User Option Modules; PS3.3 Section A.35.13 Comprehensive 3D SR IOD; Type 2 semantics in PS3.5 Section 7.4.3,False,NET,PS3.3 Section C.7.1.3,Table C.7-2b,"Where the Clinical Trial Subject module is included, Clinical Trial Site Name and Site ID are Type 2 and shall be present even if zero length. Absence of a Type 2 attribute in an included module is a violation.",Missing attribute Type 2 Required Element=<ClinicalTrialSite(Name|ID)>,True,True,NET,True
comprehensive_3d_sr,dciodvfy,1a2e5ee5815a,Warning,6,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [n] = <VALUE> - Retired Person Name form,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0164> - Retired Person Name form,PLAUSIBILITY,FLOOR,PLAUSIBILITY,"not applicable, no requirement is cited by the message",False,FLOOR,PS3.5 Section 6.2,Table 6.2-1,"A single-component PN with no caret delimiters is a legal PN value. The warning is about a deprecated component form, not about conformance, and it fires on de-identified subject identifiers by construction.",Retired Person Name form,False,False,FLOOR,True
comprehensive_3d_sr,dciodvfy,2e9f41a00272,Warning,6,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [n] = <VALUE> - Retired Person Name form,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0166> - Retired Person Name form,PLAUSIBILITY,FLOOR,PLAUSIBILITY,"not applicable, no requirement is cited by the message",False,FLOOR,PS3.5 Section 6.2,Table 6.2-1,"A single-component PN with no caret delimiters is a legal PN value. The warning is about a deprecated component form, not about conformance, and it fires on de-identified subject identifiers by construction.",Retired Person Name form,False,False,FLOOR,True
