sop_class_name,writer,writer_evidence,writer_evidence_status,equipment_writer,verdict,expectation_status,objects,pct_of_sop_class
Comprehensive 3D SR Storage,highdicom,"ImplementationClassUID (0002,0012)","CONFIRMED from source, highdicom 0.28.1 as installed",not identifiable from index,equipment attributes name no toolkit,not applicable,5312,98.22
Comprehensive 3D SR Storage,highdicom,"ImplementationClassUID (0002,0012)","CONFIRMED from source, highdicom 0.28.1 as installed",highdicom,agree,"CONFIRMED from source, highdicom 0.28.1 as installed",96,1.78
Comprehensive SR Storage,unresolved implementation 1.3.6.1.4.1.22213.1.143 / 0.5,"ImplementationClassUID (0002,0012) and ImplementationVersionName (0002,0013)","recorded verbatim, not resolved to a toolkit",PixelMed,disagree,"CONFIRMED from source, pixelmed source release 20260608",1292,61.0
Comprehensive SR Storage,dcm4che,"ImplementationVersionName (0002,0013)","asserted from observed values, NOT source confirmed",not identifiable from index,equipment attributes name no toolkit,not applicable,462,21.81
Comprehensive SR Storage,unresolved implementation 1.3.6.1.4.1.22213.1.143 / 0.5,"ImplementationClassUID (0002,0012) and ImplementationVersionName (0002,0013)","recorded verbatim, not resolved to a toolkit",not identifiable from index,equipment attributes name no toolkit,not applicable,364,17.19
Grayscale Softcopy Presentation State Storage,unresolved implementation 1.3.6.1.4.1.22213.1.143 / 0.5,"ImplementationClassUID (0002,0012) and ImplementationVersionName (0002,0013)","recorded verbatim, not resolved to a toolkit",not identifiable from index,equipment attributes name no toolkit,not applicable,624,57.46
Grayscale Softcopy Presentation State Storage,dcm4che,"ImplementationVersionName (0002,0013)","asserted from observed values, NOT source confirmed",not identifiable from index,equipment attributes name no toolkit,not applicable,462,42.54
Key Object Selection Document Storage,dcm4che,"ImplementationVersionName (0002,0013)","asserted from observed values, NOT source confirmed",not identifiable from index,equipment attributes name no toolkit,not applicable,40,100.0
Parametric Map Storage,highdicom,"ImplementationClassUID (0002,0012)","CONFIRMED from source, highdicom 0.28.1 as installed",not identifiable from index,equipment attributes name no toolkit,not applicable,691,100.0
RT Structure Set Storage,unresolved implementation 1.3.6.1.4.1.22213.1.143 / 0.5,"ImplementationClassUID (0002,0012) and ImplementationVersionName (0002,0013)","recorded verbatim, not resolved to a toolkit",OHIF-XNAT Viewer,no expectation registered,not applicable,16184,83.6
RT Structure Set Storage,unresolved implementation 1.3.6.1.4.1.22213.1.143 / 0.5,"ImplementationClassUID (0002,0012) and ImplementationVersionName (0002,0013)","recorded verbatim, not resolved to a toolkit",not identifiable from index,equipment attributes name no toolkit,not applicable,1717,8.87
RT Structure Set Storage,dcm4che,"ImplementationVersionName (0002,0013)","asserted from observed values, NOT source confirmed",not identifiable from index,equipment attributes name no toolkit,not applicable,1431,7.39
RT Structure Set Storage,DCMTK,"ImplementationVersionName (0002,0013)","asserted from observed values, NOT source confirmed",not identifiable from index,equipment attributes name no toolkit,not applicable,25,0.13
RT Structure Set Storage,dcm4che,"ImplementationVersionName (0002,0013)","asserted from observed values, NOT source confirmed",Plastimatch,no expectation registered,not applicable,1,0.01
Real World Value Mapping Storage,unresolved implementation 1.3.6.1.4.1.22213.1.143 / 0.5,"ImplementationClassUID (0002,0012) and ImplementationVersionName (0002,0013)","recorded verbatim, not resolved to a toolkit",QIICR Reporting via 3D Slicer,no expectation registered,not applicable,20,100.0
