row_type,angle,source,interface,date_searched,query,filters_limits,hits_returned,records_screened,records_included,exclusion_reason,record,run_by,source_record,notes
web_search_query,"angle 1, conformance audit of a public archive","general web search, engine not recorded",general web search issued from Claude Code; engine and result-page interface not recorded,2026-08-01,DICOM conformance audit Imaging Data Commons,not captured,not captured,not captured,not captured,not captured,"not applicable, this row is a query","LLM assisted: Claude Code, Claude Opus 5 (1M context), Anthropic, supervised by the author. Declared in results/ai_use.md",colophon.prior_art.QUERIES[0],
web_search_query,"angle 1, conformance audit of a public archive","general web search, engine not recorded",general web search issued from Claude Code; engine and result-page interface not recorded,2026-08-01,Imaging Data Commons DICOM validation study,not captured,not captured,not captured,not captured,not captured,"not applicable, this row is a query","LLM assisted: Claude Code, Claude Opus 5 (1M context), Anthropic, supervised by the author. Declared in results/ai_use.md",colophon.prior_art.QUERIES[1],
web_search_query,"angle 1, conformance audit of a public archive","general web search, engine not recorded",general web search issued from Claude Code; engine and result-page interface not recorded,2026-08-01,TCIA DICOM conformance study dciodvfy validation failures public archive,not captured,not captured,not captured,not captured,not captured,"not applicable, this row is a query","LLM assisted: Claude Code, Claude Opus 5 (1M context), Anthropic, supervised by the author. Declared in results/ai_use.md",colophon.prior_art.QUERIES[2],
web_search_query,"angle 1, conformance audit of a public archive","general web search, engine not recorded",general web search issued from Claude Code; engine and result-page interface not recorded,2026-08-01,population scale DICOM validation public archive conformance rate,not captured,not captured,not captured,not captured,not captured,"not applicable, this row is a query","LLM assisted: Claude Code, Claude Opus 5 (1M context), Anthropic, supervised by the author. Declared in results/ai_use.md",colophon.prior_art.QUERIES[3],
web_search_query,"angle 1, conformance audit of a public archive","general web search, engine not recorded",general web search issued from Claude Code; engine and result-page interface not recorded,2026-08-01,DICOM segmentation object conformance errors highdicom dcmqi validator survey 2025,not captured,not captured,not captured,not captured,not captured,"not applicable, this row is a query","LLM assisted: Claude Code, Claude Opus 5 (1M context), Anthropic, supervised by the author. Declared in results/ai_use.md",colophon.prior_art.QUERIES[4],
web_search_query,"angle 1, conformance audit of a public archive","general web search, engine not recorded",general web search issued from Claude Code; engine and result-page interface not recorded,2026-08-01,"""Imaging Data Commons"" AI-derived DICOM SEG provenance metadata quality 2026",not captured,not captured,not captured,not captured,not captured,"not applicable, this row is a query","LLM assisted: Claude Code, Claude Opus 5 (1M context), Anthropic, supervised by the author. Declared in results/ai_use.md",colophon.prior_art.QUERIES[5],
web_search_query,"angle 1, conformance audit of a public archive","general web search, engine not recorded",general web search issued from Claude Code; engine and result-page interface not recorded,2026-08-01,MIDRC data quality DICOM metadata audit medical imaging data resource center,not captured,not captured,not captured,not captured,not captured,"not applicable, this row is a query","LLM assisted: Claude Code, Claude Opus 5 (1M context), Anthropic, supervised by the author. Declared in results/ai_use.md",colophon.prior_art.QUERIES[6],
web_search_query,"angle 1, conformance audit of a public archive","general web search, engine not recorded",general web search issued from Claude Code; engine and result-page interface not recorded,2026-08-01,"""Toward AI-Ready Medical Imaging Data"" arXiv 2025 DICOM conformance",not captured,not captured,not captured,not captured,not captured,"not applicable, this row is a query","LLM assisted: Claude Code, Claude Opus 5 (1M context), Anthropic, supervised by the author. Declared in results/ai_use.md",colophon.prior_art.QUERIES[7],
web_search_query,"angle 1, conformance audit of a public archive","general web search, engine not recorded",general web search issued from Claude Code; engine and result-page interface not recorded,2026-08-01,VIDS Verified Imaging Dataset Standard for Medical AI arXiv 2604.17525,not captured,not captured,not captured,not captured,not captured,"not applicable, this row is a query","LLM assisted: Claude Code, Claude Opus 5 (1M context), Anthropic, supervised by the author. Declared in results/ai_use.md",colophon.prior_art.QUERIES[8],
web_search_query,"angle 1, conformance audit of a public archive","general web search, engine not recorded",general web search issued from Claude Code; engine and result-page interface not recorded,2026-08-01,how many DICOM objects fail validator large repository fraction non-conformant measurement,not captured,not captured,not captured,not captured,not captured,"not applicable, this row is a query","LLM assisted: Claude Code, Claude Opus 5 (1M context), Anthropic, supervised by the author. Declared in results/ai_use.md",colophon.prior_art.QUERIES[9],
