validator,message_class_id,message_template,severity_as_emitted,objects,adjudication,citation_section,citation_table,citation_quote,rationale
dciodvfy,e4c7fa2d56f7,Error - Missing attribute Type 2C Conditional Element=<Laterality> Module=<GeneralSeries>,Error,462,FLOOR,PS3.3 C.7.3.1 General Series Module; PS3.5 7.4.4 Type 2C Conditional Data Elements,"PS3.3 Table C.7-5a General Series Module Attributes (rows Laterality (0020,0060) Type 2C and Body Part Examined (0018,0015) Type 3)","PS3.3 Table C.7-5a, Laterality (0020,0060), Type 2C: ""Laterality of (paired) body part examined. Required if the body part examined is a paired structure and Image Laterality (0020,0062) or Frame Laterality (0020,9072) or Measurement Laterality (0024,0113) are not present."" PS3.5 7.4.4: ""IODs and SOP Classes define Type 2C Data Elements that have the same requirements as Type 2 Data Elements under certain specified conditions. It is a protocol violation if the specified conditions are met and the Data Element is not included. When the specified conditions are not met, Type 2C Data Elements shall not be included in the Data Set unless it is specified that they may be present otherwise.""","The condition turns on whether the body part examined is a paired structure. The attribute that would carry that fact, Body Part Examined (0018,0015), is Type 3 in the same table, so a conformant object need not carry it, and PS3.3 gives no normative list of which body parts are paired. The condition is therefore not evaluable from the dataset. PS3.5 7.4.4 makes the two readings symmetric: if the condition is met the absence is a violation, and if it is not met the absence is mandatory. The message cannot distinguish them. The identical message class id e4c7fa2d56f7 is already in results/floor_set.csv against a known-good object built by highdicom, which is the empirical form of the same point. The Presentation Series Module (PS3.3 Table C.11.9-1), which PS3.3 A.33.1 says specialises the General Series Module for this IOD, specialises only Modality (0008,0060) and leaves Laterality at Type 2C. dicom-validator, reading the same 462 objects, raised nothing here."
dciodvfy,b572d7689ee2,"Error - DisplayedAreaSelectionSequence is internally inconsistent - DisplayedAreaTopLeftHandCorner = (344,0) is not above and to the left of DisplayedAreaBottomRightHandCorner = (344,512)",Error,5,PLAUSIBILITY,PS3.3 C.10.4 Displayed Area Module,PS3.3 Table C.10-4 Displayed Area Module Attributes,"PS3.3 Table C.10-4, Displayed Area Top Left Hand Corner (0070,0052), Type 1: ""The top left (after spatial transformation) pixel in the referenced image to be displayed, given as column\row. Column is the horizontal (before spatial transformation) offset (X) and row is the vertical (before spatial transformation) offset (Y) relative to the origin of the pixel data before spatial transformation, which is 1\1. See Figure C.10.4-1."" Note in PS3.3 C.10.4: ""The TLHC and BRHC may be outside the boundaries of the image pixel data (e.g., the TLHC may be 0 or negative, or the BRHC may be greater than Rows or Columns), allowing minification or placement of the image pixel data within a larger Specified Displayed Area.""","CONTESTED, and the counterfactual is reported alongside the verdict. Section C.10.4 and Table C.10-4 were read in full. Neither states any ordering relation between (0070,0052) and (0070,0053), neither uses shall for such a relation, and neither forbids a region one column or one row wide. Both attributes are Type 1 and both are present with values valid for VR SL and VM 2 as PS3.5 7.4.1 defines validity. In every observed message one axis is equal rather than inverted, for example TopLeft = (344,0) against BottomRight = (344,512), so dciodvfy is applying a strict inequality on both axes that the standard does not state. The section's only statement about corner values loosens the constraint rather than tightening it, permitting zero and negative coordinates. NET is refused because the rubric requires a section and table giving the Type or condition violated and no such text exists. FLOOR is refused because nothing cited positively permits a degenerate region either. PLAUSIBILITY is recorded: a cross-attribute consistency heuristic with no located conformance requirement behind it. PS3.4 Annex N, the Softcopy Presentation State Storage SOP Classes, was also checked and states nothing about the relationship between the two corners. A reader who holds that the attribute names top left and bottom right are themselves normative would move this class to NET, which changes the PRE-05 outcome, so the counterfactual triple and both rates are reported in results/phase2/net_rates_gsps.md."
dciodvfy,815a4ab09dce,"Error - DisplayedAreaSelectionSequence is internally inconsistent - DisplayedAreaTopLeftHandCorner = (347,0) is not above and to the left of DisplayedAreaBottomRightHandCorner = (347,512)",Error,3,PLAUSIBILITY,PS3.3 C.10.4 Displayed Area Module,PS3.3 Table C.10-4 Displayed Area Module Attributes,"PS3.3 Table C.10-4, Displayed Area Top Left Hand Corner (0070,0052), Type 1: ""The top left (after spatial transformation) pixel in the referenced image to be displayed, given as column\row. Column is the horizontal (before spatial transformation) offset (X) and row is the vertical (before spatial transformation) offset (Y) relative to the origin of the pixel data before spatial transformation, which is 1\1. See Figure C.10.4-1."" Note in PS3.3 C.10.4: ""The TLHC and BRHC may be outside the boundaries of the image pixel data (e.g., the TLHC may be 0 or negative, or the BRHC may be greater than Rows or Columns), allowing minification or placement of the image pixel data within a larger Specified Displayed Area.""","CONTESTED, and the counterfactual is reported alongside the verdict. Section C.10.4 and Table C.10-4 were read in full. Neither states any ordering relation between (0070,0052) and (0070,0053), neither uses shall for such a relation, and neither forbids a region one column or one row wide. Both attributes are Type 1 and both are present with values valid for VR SL and VM 2 as PS3.5 7.4.1 defines validity. In every observed message one axis is equal rather than inverted, for example TopLeft = (344,0) against BottomRight = (344,512), so dciodvfy is applying a strict inequality on both axes that the standard does not state. The section's only statement about corner values loosens the constraint rather than tightening it, permitting zero and negative coordinates. NET is refused because the rubric requires a section and table giving the Type or condition violated and no such text exists. FLOOR is refused because nothing cited positively permits a degenerate region either. PLAUSIBILITY is recorded: a cross-attribute consistency heuristic with no located conformance requirement behind it. PS3.4 Annex N, the Softcopy Presentation State Storage SOP Classes, was also checked and states nothing about the relationship between the two corners. A reader who holds that the attribute names top left and bottom right are themselves normative would move this class to NET, which changes the PRE-05 outcome, so the counterfactual triple and both rates are reported in results/phase2/net_rates_gsps.md."
dciodvfy,ec4e9244a88e,"Error - DisplayedAreaSelectionSequence is internally inconsistent - DisplayedAreaTopLeftHandCorner = (0,341) is not above and to the left of DisplayedAreaBottomRightHandCorner = (512,341)",Error,2,PLAUSIBILITY,PS3.3 C.10.4 Displayed Area Module,PS3.3 Table C.10-4 Displayed Area Module Attributes,"PS3.3 Table C.10-4, Displayed Area Top Left Hand Corner (0070,0052), Type 1: ""The top left (after spatial transformation) pixel in the referenced image to be displayed, given as column\row. Column is the horizontal (before spatial transformation) offset (X) and row is the vertical (before spatial transformation) offset (Y) relative to the origin of the pixel data before spatial transformation, which is 1\1. See Figure C.10.4-1."" Note in PS3.3 C.10.4: ""The TLHC and BRHC may be outside the boundaries of the image pixel data (e.g., the TLHC may be 0 or negative, or the BRHC may be greater than Rows or Columns), allowing minification or placement of the image pixel data within a larger Specified Displayed Area.""","CONTESTED, and the counterfactual is reported alongside the verdict. Section C.10.4 and Table C.10-4 were read in full. Neither states any ordering relation between (0070,0052) and (0070,0053), neither uses shall for such a relation, and neither forbids a region one column or one row wide. Both attributes are Type 1 and both are present with values valid for VR SL and VM 2 as PS3.5 7.4.1 defines validity. In every observed message one axis is equal rather than inverted, for example TopLeft = (344,0) against BottomRight = (344,512), so dciodvfy is applying a strict inequality on both axes that the standard does not state. The section's only statement about corner values loosens the constraint rather than tightening it, permitting zero and negative coordinates. NET is refused because the rubric requires a section and table giving the Type or condition violated and no such text exists. FLOOR is refused because nothing cited positively permits a degenerate region either. PLAUSIBILITY is recorded: a cross-attribute consistency heuristic with no located conformance requirement behind it. PS3.4 Annex N, the Softcopy Presentation State Storage SOP Classes, was also checked and states nothing about the relationship between the two corners. A reader who holds that the attribute names top left and bottom right are themselves normative would move this class to NET, which changes the PRE-05 outcome, so the counterfactual triple and both rates are reported in results/phase2/net_rates_gsps.md."
dciodvfy,54cba9305877,"Error - DisplayedAreaSelectionSequence is internally inconsistent - DisplayedAreaTopLeftHandCorner = (340,0) is not above and to the left of DisplayedAreaBottomRightHandCorner = (340,512)",Error,2,PLAUSIBILITY,PS3.3 C.10.4 Displayed Area Module,PS3.3 Table C.10-4 Displayed Area Module Attributes,"PS3.3 Table C.10-4, Displayed Area Top Left Hand Corner (0070,0052), Type 1: ""The top left (after spatial transformation) pixel in the referenced image to be displayed, given as column\row. Column is the horizontal (before spatial transformation) offset (X) and row is the vertical (before spatial transformation) offset (Y) relative to the origin of the pixel data before spatial transformation, which is 1\1. See Figure C.10.4-1."" Note in PS3.3 C.10.4: ""The TLHC and BRHC may be outside the boundaries of the image pixel data (e.g., the TLHC may be 0 or negative, or the BRHC may be greater than Rows or Columns), allowing minification or placement of the image pixel data within a larger Specified Displayed Area.""","CONTESTED, and the counterfactual is reported alongside the verdict. Section C.10.4 and Table C.10-4 were read in full. Neither states any ordering relation between (0070,0052) and (0070,0053), neither uses shall for such a relation, and neither forbids a region one column or one row wide. Both attributes are Type 1 and both are present with values valid for VR SL and VM 2 as PS3.5 7.4.1 defines validity. In every observed message one axis is equal rather than inverted, for example TopLeft = (344,0) against BottomRight = (344,512), so dciodvfy is applying a strict inequality on both axes that the standard does not state. The section's only statement about corner values loosens the constraint rather than tightening it, permitting zero and negative coordinates. NET is refused because the rubric requires a section and table giving the Type or condition violated and no such text exists. FLOOR is refused because nothing cited positively permits a degenerate region either. PLAUSIBILITY is recorded: a cross-attribute consistency heuristic with no located conformance requirement behind it. PS3.4 Annex N, the Softcopy Presentation State Storage SOP Classes, was also checked and states nothing about the relationship between the two corners. A reader who holds that the attribute names top left and bottom right are themselves normative would move this class to NET, which changes the PRE-05 outcome, so the counterfactual triple and both rates are reported in results/phase2/net_rates_gsps.md."
dciodvfy,4e148786b6b3,"Error - DisplayedAreaSelectionSequence is internally inconsistent - DisplayedAreaTopLeftHandCorner = (340,0) is not above and to the left of DisplayedAreaBottomRightHandCorner = (340,513)",Error,2,PLAUSIBILITY,PS3.3 C.10.4 Displayed Area Module,PS3.3 Table C.10-4 Displayed Area Module Attributes,"PS3.3 Table C.10-4, Displayed Area Top Left Hand Corner (0070,0052), Type 1: ""The top left (after spatial transformation) pixel in the referenced image to be displayed, given as column\row. Column is the horizontal (before spatial transformation) offset (X) and row is the vertical (before spatial transformation) offset (Y) relative to the origin of the pixel data before spatial transformation, which is 1\1. See Figure C.10.4-1."" Note in PS3.3 C.10.4: ""The TLHC and BRHC may be outside the boundaries of the image pixel data (e.g., the TLHC may be 0 or negative, or the BRHC may be greater than Rows or Columns), allowing minification or placement of the image pixel data within a larger Specified Displayed Area.""","CONTESTED, and the counterfactual is reported alongside the verdict. Section C.10.4 and Table C.10-4 were read in full. Neither states any ordering relation between (0070,0052) and (0070,0053), neither uses shall for such a relation, and neither forbids a region one column or one row wide. Both attributes are Type 1 and both are present with values valid for VR SL and VM 2 as PS3.5 7.4.1 defines validity. In every observed message one axis is equal rather than inverted, for example TopLeft = (344,0) against BottomRight = (344,512), so dciodvfy is applying a strict inequality on both axes that the standard does not state. The section's only statement about corner values loosens the constraint rather than tightening it, permitting zero and negative coordinates. NET is refused because the rubric requires a section and table giving the Type or condition violated and no such text exists. FLOOR is refused because nothing cited positively permits a degenerate region either. PLAUSIBILITY is recorded: a cross-attribute consistency heuristic with no located conformance requirement behind it. PS3.4 Annex N, the Softcopy Presentation State Storage SOP Classes, was also checked and states nothing about the relationship between the two corners. A reader who holds that the attribute names top left and bottom right are themselves normative would move this class to NET, which changes the PRE-05 outcome, so the counterfactual triple and both rates are reported in results/phase2/net_rates_gsps.md."
dciodvfy,6d27ea471492,"Error - DisplayedAreaSelectionSequence is internally inconsistent - DisplayedAreaTopLeftHandCorner = (341,0) is not above and to the left of DisplayedAreaBottomRightHandCorner = (341,512)",Error,2,PLAUSIBILITY,PS3.3 C.10.4 Displayed Area Module,PS3.3 Table C.10-4 Displayed Area Module Attributes,"PS3.3 Table C.10-4, Displayed Area Top Left Hand Corner (0070,0052), Type 1: ""The top left (after spatial transformation) pixel in the referenced image to be displayed, given as column\row. Column is the horizontal (before spatial transformation) offset (X) and row is the vertical (before spatial transformation) offset (Y) relative to the origin of the pixel data before spatial transformation, which is 1\1. See Figure C.10.4-1."" Note in PS3.3 C.10.4: ""The TLHC and BRHC may be outside the boundaries of the image pixel data (e.g., the TLHC may be 0 or negative, or the BRHC may be greater than Rows or Columns), allowing minification or placement of the image pixel data within a larger Specified Displayed Area.""","CONTESTED, and the counterfactual is reported alongside the verdict. Section C.10.4 and Table C.10-4 were read in full. Neither states any ordering relation between (0070,0052) and (0070,0053), neither uses shall for such a relation, and neither forbids a region one column or one row wide. Both attributes are Type 1 and both are present with values valid for VR SL and VM 2 as PS3.5 7.4.1 defines validity. In every observed message one axis is equal rather than inverted, for example TopLeft = (344,0) against BottomRight = (344,512), so dciodvfy is applying a strict inequality on both axes that the standard does not state. The section's only statement about corner values loosens the constraint rather than tightening it, permitting zero and negative coordinates. NET is refused because the rubric requires a section and table giving the Type or condition violated and no such text exists. FLOOR is refused because nothing cited positively permits a degenerate region either. PLAUSIBILITY is recorded: a cross-attribute consistency heuristic with no located conformance requirement behind it. PS3.4 Annex N, the Softcopy Presentation State Storage SOP Classes, was also checked and states nothing about the relationship between the two corners. A reader who holds that the attribute names top left and bottom right are themselves normative would move this class to NET, which changes the PRE-05 outcome, so the counterfactual triple and both rates are reported in results/phase2/net_rates_gsps.md."
dciodvfy,bf7e17adad4c,"Error - DisplayedAreaSelectionSequence is internally inconsistent - DisplayedAreaTopLeftHandCorner = (342,0) is not above and to the left of DisplayedAreaBottomRightHandCorner = (342,512)",Error,2,PLAUSIBILITY,PS3.3 C.10.4 Displayed Area Module,PS3.3 Table C.10-4 Displayed Area Module Attributes,"PS3.3 Table C.10-4, Displayed Area Top Left Hand Corner (0070,0052), Type 1: ""The top left (after spatial transformation) pixel in the referenced image to be displayed, given as column\row. Column is the horizontal (before spatial transformation) offset (X) and row is the vertical (before spatial transformation) offset (Y) relative to the origin of the pixel data before spatial transformation, which is 1\1. See Figure C.10.4-1."" Note in PS3.3 C.10.4: ""The TLHC and BRHC may be outside the boundaries of the image pixel data (e.g., the TLHC may be 0 or negative, or the BRHC may be greater than Rows or Columns), allowing minification or placement of the image pixel data within a larger Specified Displayed Area.""","CONTESTED, and the counterfactual is reported alongside the verdict. Section C.10.4 and Table C.10-4 were read in full. Neither states any ordering relation between (0070,0052) and (0070,0053), neither uses shall for such a relation, and neither forbids a region one column or one row wide. Both attributes are Type 1 and both are present with values valid for VR SL and VM 2 as PS3.5 7.4.1 defines validity. In every observed message one axis is equal rather than inverted, for example TopLeft = (344,0) against BottomRight = (344,512), so dciodvfy is applying a strict inequality on both axes that the standard does not state. The section's only statement about corner values loosens the constraint rather than tightening it, permitting zero and negative coordinates. NET is refused because the rubric requires a section and table giving the Type or condition violated and no such text exists. FLOOR is refused because nothing cited positively permits a degenerate region either. PLAUSIBILITY is recorded: a cross-attribute consistency heuristic with no located conformance requirement behind it. PS3.4 Annex N, the Softcopy Presentation State Storage SOP Classes, was also checked and states nothing about the relationship between the two corners. A reader who holds that the attribute names top left and bottom right are themselves normative would move this class to NET, which changes the PRE-05 outcome, so the counterfactual triple and both rates are reported in results/phase2/net_rates_gsps.md."
dciodvfy,b3fa31e6419e,"Error - DisplayedAreaSelectionSequence is internally inconsistent - DisplayedAreaTopLeftHandCorner = (343,0) is not above and to the left of DisplayedAreaBottomRightHandCorner = (343,513)",Error,2,PLAUSIBILITY,PS3.3 C.10.4 Displayed Area Module,PS3.3 Table C.10-4 Displayed Area Module Attributes,"PS3.3 Table C.10-4, Displayed Area Top Left Hand Corner (0070,0052), Type 1: ""The top left (after spatial transformation) pixel in the referenced image to be displayed, given as column\row. Column is the horizontal (before spatial transformation) offset (X) and row is the vertical (before spatial transformation) offset (Y) relative to the origin of the pixel data before spatial transformation, which is 1\1. See Figure C.10.4-1."" Note in PS3.3 C.10.4: ""The TLHC and BRHC may be outside the boundaries of the image pixel data (e.g., the TLHC may be 0 or negative, or the BRHC may be greater than Rows or Columns), allowing minification or placement of the image pixel data within a larger Specified Displayed Area.""","CONTESTED, and the counterfactual is reported alongside the verdict. Section C.10.4 and Table C.10-4 were read in full. Neither states any ordering relation between (0070,0052) and (0070,0053), neither uses shall for such a relation, and neither forbids a region one column or one row wide. Both attributes are Type 1 and both are present with values valid for VR SL and VM 2 as PS3.5 7.4.1 defines validity. In every observed message one axis is equal rather than inverted, for example TopLeft = (344,0) against BottomRight = (344,512), so dciodvfy is applying a strict inequality on both axes that the standard does not state. The section's only statement about corner values loosens the constraint rather than tightening it, permitting zero and negative coordinates. NET is refused because the rubric requires a section and table giving the Type or condition violated and no such text exists. FLOOR is refused because nothing cited positively permits a degenerate region either. PLAUSIBILITY is recorded: a cross-attribute consistency heuristic with no located conformance requirement behind it. PS3.4 Annex N, the Softcopy Presentation State Storage SOP Classes, was also checked and states nothing about the relationship between the two corners. A reader who holds that the attribute names top left and bottom right are themselves normative would move this class to NET, which changes the PRE-05 outcome, so the counterfactual triple and both rates are reported in results/phase2/net_rates_gsps.md."
dciodvfy,5f59d3a00bba,"Error - DisplayedAreaSelectionSequence is internally inconsistent - DisplayedAreaTopLeftHandCorner = (344,0) is not above and to the left of DisplayedAreaBottomRightHandCorner = (344,513)",Error,2,PLAUSIBILITY,PS3.3 C.10.4 Displayed Area Module,PS3.3 Table C.10-4 Displayed Area Module Attributes,"PS3.3 Table C.10-4, Displayed Area Top Left Hand Corner (0070,0052), Type 1: ""The top left (after spatial transformation) pixel in the referenced image to be displayed, given as column\row. Column is the horizontal (before spatial transformation) offset (X) and row is the vertical (before spatial transformation) offset (Y) relative to the origin of the pixel data before spatial transformation, which is 1\1. See Figure C.10.4-1."" Note in PS3.3 C.10.4: ""The TLHC and BRHC may be outside the boundaries of the image pixel data (e.g., the TLHC may be 0 or negative, or the BRHC may be greater than Rows or Columns), allowing minification or placement of the image pixel data within a larger Specified Displayed Area.""","CONTESTED, and the counterfactual is reported alongside the verdict. Section C.10.4 and Table C.10-4 were read in full. Neither states any ordering relation between (0070,0052) and (0070,0053), neither uses shall for such a relation, and neither forbids a region one column or one row wide. Both attributes are Type 1 and both are present with values valid for VR SL and VM 2 as PS3.5 7.4.1 defines validity. In every observed message one axis is equal rather than inverted, for example TopLeft = (344,0) against BottomRight = (344,512), so dciodvfy is applying a strict inequality on both axes that the standard does not state. The section's only statement about corner values loosens the constraint rather than tightening it, permitting zero and negative coordinates. NET is refused because the rubric requires a section and table giving the Type or condition violated and no such text exists. FLOOR is refused because nothing cited positively permits a degenerate region either. PLAUSIBILITY is recorded: a cross-attribute consistency heuristic with no located conformance requirement behind it. PS3.4 Annex N, the Softcopy Presentation State Storage SOP Classes, was also checked and states nothing about the relationship between the two corners. A reader who holds that the attribute names top left and bottom right are themselves normative would move this class to NET, which changes the PRE-05 outcome, so the counterfactual triple and both rates are reported in results/phase2/net_rates_gsps.md."
